date,open,high,low,close,volume
2015-02-09,28.8124,29.1276,28.7837,29.0321,1129867
2015-02-10,29.0703,29.1372,28.7742,29.0512,1679126
2015-02-11,29.0512,29.0703,28.6691,28.8219,1229098
2015-02-12,29.6913,30.2167,29.6435,30.1785,2276823
2015-02-13,30.5797,30.981,30.5702,30.8472,2366884
2015-02-17,31.0861,31.2007,30.7043,31.1434,1525579
2015-02-18,31.3058,31.4013,31.1147,31.3249,2676134
2015-02-19,31.2198,31.4013,31.0574,31.1434,2952814
2015-02-20,31.0765,32.0796,31.0145,31.9458,3781380
2015-02-23,31.2962,31.5207,31.1911,31.4013,2201349
2015-02-24,31.5159,31.8408,31.3535,31.6688,1757223
2015-02-25,31.2962,31.5064,31.2485,31.3918,1518633
2015-02-26,31.2485,31.4013,31.1147,31.1529,1387920
2015-02-27,31.2485,31.4873,31.1052,31.2676,1035128
2015-03-02,31.4109,31.4968,31.2867,31.4491,1140886
2015-03-03,30.9523,31.0096,30.7135,30.8281,1273883
2015-03-04,30.6275,30.7721,30.3982,30.7326,1333345
2015-03-05,30.6848,30.9141,30.5988,30.7708,918342
2015-03-06,30.6562,30.895,30.403,30.4269,1275284
2015-03-09,30.637,30.6466,30.3218,30.5415,1276521
2015-03-10,29.825,30.0734,29.7295,29.7677,1730896
2015-03-11,29.9683,30.3313,29.9301,30.1689,1535182
2015-03-12,30.2549,30.4078,29.997,30.2836,1664219
2015-03-13,30.2454,30.4364,30.0256,30.3982,1314786
2015-03-16,31.0192,31.3535,30.9332,31.2485,1817814
2015-03-17,30.9428,31.0956,30.7612,31.0096,1522086
2015-03-18,30.8854,31.7261,30.8568,31.6115,1736390
2015-03-19,31.535,31.6879,31.3153,31.4491,2080072
2015-03-20,32.5381,32.8629,32.3375,32.6241,3015682
2015-03-23,33.1591,33.3406,32.9871,33.1591,2542917
2015-03-24,33.589,33.9042,33.3979,33.6081,3210060
2015-03-25,33.7514,33.7705,33.226,33.2546,2362731
2015-03-26,33.1018,33.1878,32.691,32.9298,1646006
2015-03-27,33.0062,33.0827,32.7483,32.9298,1915787
2015-03-30,33.503,33.5508,33.3597,33.4075,1335639
2015-03-31,33.0158,33.331,32.9203,33.1782,1223984
2015-04-01,33.5603,33.78,33.1591,33.7227,1796710
2015-04-02,33.9329,34.1574,33.8565,34.1049,1960374
2015-04-06,34.0666,34.5825,33.9995,34.4488,2673313
2015-04-07,34.401,34.5873,34.2099,34.229,1586619
2015-04-08,34.401,34.4392,33.9233,34.0093,1076896
2015-04-09,33.7418,33.8278,33.4552,33.7418,1212458
2015-04-10,33.6463,33.7132,33.3502,33.589,1318521
2015-04-13,33.6176,33.6941,33.3215,33.417,1644259
2015-04-14,33.4361,33.5307,33.2928,33.4648,1146987
2015-04-15,33.5985,33.7514,33.3358,33.6272,1415559
2015-04-16,32.8725,32.9776,32.4522,32.7196,2762389
2015-04-17,31.7643,31.9267,31.5398,31.8121,3710013
2015-04-20,32.0032,32.1702,31.8885,31.9076,1352117
2015-04-21,32.0223,32.0414,31.7452,31.8503,1452434
2015-04-22,32.2706,32.5668,31.9745,32.433,1926555
2015-04-23,32.2993,32.7292,32.2324,32.6241,1161676
2015-04-24,32.7579,32.8247,32.4474,32.7292,915380
2015-04-27,31.3918,31.4491,31.1147,31.1529,3509247
2015-04-28,30.2167,30.6466,30.1976,30.6084,3451772
2015-04-29,30.0925,30.4364,29.825,30.3122,3376229
2015-04-30,30.5606,30.895,30.4364,30.6657,2852732
2015-05-01,30.7899,31.0192,30.5893,30.8472,893119
2015-05-04,30.6562,30.7995,30.6179,30.6562,991327
2015-05-05,30.5129,30.5702,30.0925,30.1021,1793556
2015-05-06,30.6275,31.0002,30.4269,30.8186,2305069
2015-05-07,30.6944,30.7995,30.4938,30.6179,1344966
2015-05-08,30.4269,31.0478,30.3982,30.9714,1271251
2015-05-11,30.9905,31.1816,30.8568,30.8854,913468
2015-05-12,30.8663,31.0383,30.7612,30.8568,833674
2015-05-13,31.3535,31.5169,31.0956,31.2102,1269175
2015-05-14,31.5924,31.7739,31.4968,31.707,1352486
2015-05-15,31.4491,31.868,31.4491,31.8599,1419128
2015-05-18,31.4395,31.5819,31.3153,31.4395,1380683
2015-05-19,31.3058,31.5542,31.2389,31.3822,915109
2015-05-20,31.4586,31.6067,31.3249,31.5064,695049
2015-05-21,31.3344,31.5924,31.3153,31.5446,1170281
2015-05-22,31.325,31.325,31.0114,31.0212,1419870
2015-05-26,30.3353,30.3451,29.8846,29.9728,2055686
2015-05-27,29.816,30.4235,29.7768,30.2374,1534950
2015-05-28,29.9826,30.159,29.6593,30.1198,1945997
2015-05-29,29.767,29.8062,29.4241,29.6005,2320985
2015-06-01,29.3555,29.3947,29.0175,29.2673,1851795
2015-06-02,30.11,30.7469,30.012,30.4431,3314876
2015-06-03,30.6293,31.1388,30.5999,30.884,1679331
2015-06-04,30.9036,31.3837,30.6391,30.7077,1910371
2015-06-05,29.8846,30.2667,29.6984,30.012,2026396
2015-06-08,31.7463,31.8639,31.3837,31.5013,4671618
2015-06-09,30.5117,30.8546,30.3843,30.5999,2423599
2015-06-10,31.1976,31.6777,31.0604,31.5209,1838864
2015-06-11,31.6973,31.9226,31.3641,31.6581,1606062
2015-06-12,31.1192,31.4719,30.8056,31.3935,1516716
2015-06-15,30.4039,30.7371,30.3647,30.7077,1695475
2015-06-16,30.4235,30.5901,30.2667,30.5803,921273
2015-06-17,30.7273,30.7763,30.2961,30.5509,1182078
2015-06-18,30.4333,31.2956,30.159,30.5117,3747504
2015-06-19,30.012,30.0414,29.5319,29.6495,2956139
2015-06-22,30.7567,31.1388,30.5117,30.8056,3327779
2015-06-23,30.8154,30.9674,30.7664,30.835,1332571
2015-06-24,30.5803,30.8056,30.4921,30.5509,1267166
2015-06-25,30.9918,31.227,30.6979,31.031,2149717
2015-06-26,31.4131,31.8051,31.3641,31.5993,2860036
2015-06-29,30.0316,30.2374,29.4731,29.4927,4387319
2015-06-30,30.0512,30.061,29.3653,29.5515,2795135
2015-07-01,30.6587,30.9074,30.3843,30.5215,2854565
